Luas Tanah,Jumlah Kamar,Listrik,Lokasi,Harga
152.0,4,3500,Pinggir,754981528.0
142.0,2,3500,Pinggir,695723448.0
64.0,5,900,Pinggir,387275624.0
156.0,4,1300,Pinggir,670531424.0
121.0,3,2200,Pusat,718403252.0
70.0,3,900,Pinggir,373204739.0
152.0,5,2200,Pusat,850151785.0
171.0,3,3500,Pusat,957489478.0
124.0,3,1300,Pusat,710354320.0
137.0,5,2200,Pusat,824166524.0
166.0,4,2200,Pinggir,755192252.0
149.0,4,3500,Pusat,885284321.0
153.0,3,2200,Pusat,826456057.0
180.0,3,2200,Pinggir,762197928.0
199.0,4,3500,Pinggir,902229717.0
102.0,5,900,Pinggir,489433840.0
51.0,3,3500,Pusat,583140449.0
137.0,2,900,Pinggir,541463365.0
87.0,5,1300,Pinggir,487770093.0
179.0,3,900,Pusat,844229189.0
70.0,3,900,Pinggir,358609569.0
107.0,2,1300,Pinggir,457379904.0
71.0,2,900,Pinggir,357014857.0
138.0,4,3500,Pinggir,700437188.0
98.0,5,900,Pusat,654210753.0
108.0,5,1300,Pinggir,553093077.0
64.0,4,3500,Pinggir,503737775.0
100.0,5,1300,Pusat,661374601.0
157.0,5,1300,Pinggir,705387233.0
104.0,5,2200,Pusat,713218063.0
113.0,5,2200,Pinggir,602689071.0
180.0,5,1300,Pusat,915224818.0
100.0,2,1300,Pusat,609567790.0
184.0,5,1300,Pusat,907999077.0
70.0,2,2200,Pusat,566263177.0
122.0,5,2200,Pinggir,645993954.0
67.0,4,900,Pusat,527825215.0
181.0,3,900,Pinggir,699595966.0
138.0,2,1300,Pusat,736026182.0
109.0,5,3500,Pusat,818319763.0
63.0,4,3500,Pusat,632976766.0
58.0,3,2200,Pinggir,410185155.0
139.0,2,2200,Pusat,775997485.0
102.0,3,2200,Pinggir,523642355.0
179.0,4,1300,Pinggir,728152789.0
133.0,2,3500,Pinggir,653967246.0
141.0,3,900,Pinggir,565543159.0
160.0,5,1300,Pinggir,680384935.0
57.0,2,900,Pinggir,298155092.0
84.0,3,900,Pinggir,401514254.0
130.0,4,1300,Pinggir,584678933.0
99.0,4,900,Pinggir,475063155.0
153.0,2,3500,Pusat,877593741.0
181.0,3,900,Pusat,846988954.0
51.0,2,3500,Pusat,587247228.0
183.0,2,3500,Pusat,946639929.0
103.0,3,3500,Pusat,727133211.0
155.0,3,2200,Pinggir,692434009.0
53.0,5,900,Pinggir,358217665.0
